province_code,province_name,city_name,city_code,Latitude,Longitude,city_name_zh,city_name_zh2,province_name_zh,province_name_en,,,,,,,
210000 ,Liaoning Province,Liaoyang,211000,41.2790 ,123.1760 ,辽阳,辽阳,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Panjin,211100,41.1167 ,122.0500 ,盘锦,盘锦,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Tieling,211200,42.2931 ,123.8414 ,铁岭,铁岭,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Chaoyang ,211300,41.5703 ,120.4586 ,朝阳,朝阳,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Huludao,211400,40.6556 ,120.9990 ,葫芦岛,葫芦岛,辽宁,Liaoning Province,,,,,,,
220000 ,Jilin Province,Changchun,220100,43.8800 ,125.3228 ,长春,长春,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Jilin,220200,43.8508 ,126.5603 ,吉林,吉林,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Siping,220300,43.1580 ,124.3506 ,四平,四平,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Liaoyuan,220400,42.9036 ,125.1358 ,辽源,辽源,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Tonghua,220500,41.7283 ,125.9397 ,通化,通化,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Baishan,220600,41.9385 ,126.4197 ,白山,白山,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Songyuan,220700,45.1411 ,124.8251 ,松原,松原,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Baicheng,220800,45.6190 ,122.8387 ,白城,白城,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Yanbian,222400,42.8912 ,129.5089 ,延边朝鲜族自治州,延边,吉林,Jilin Province,,,,,,,
230000 ,Heilongjiang Province,Haerbin,230100,45.8022 ,126.5350 ,哈尔滨,哈尔滨,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Qiqihaer,230200,47.3543 ,123.9175 ,齐齐哈尔,齐齐哈尔,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Jixi,230300,45.2938 ,131.0210 ,鸡西,鸡西,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Hegang,230400,47.3321 ,130.2979 ,鹤岗,鹤岗,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Shuangyashan,230500,46.6461 ,131.1573 ,双鸭山,双鸭山,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Daqing,230600,46.5876 ,125.1031 ,大庆,大庆,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Yichun,230700,47.7275 ,128.8412 ,伊春,伊春,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Jiamusi,230800,46.8085 ,130.3656 ,佳木斯,佳木斯,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Qitaihe,230900,45.7713 ,131.0030 ,七台河,七台河,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Mudanjiang,231000,44.5525 ,129.6325 ,牡丹江,牡丹江,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Henhe,231100,50.2441 ,127.5008 ,黑河,黑河,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Suihua,231200,46.6372 ,126.9800 ,绥化,绥化,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Daxinganling,232700,50.4202 ,124.1272 ,大兴安岭,大兴安岭,黑龙江,Heilongjiang Province,,,,,,,
310000 ,Shanghai,Shanghai,310000,31.2304 ,121.4737 ,上海市,上海,上海,Shanghai Municipality,,,,,,,
320000 ,Jiangsu Province,Nanjing,320100,32.0415 ,118.7674 ,南京,南京,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Wuxi,320200,31.5747 ,120.3017 ,无锡,无锡,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Xuzhou,320300,34.2058 ,117.2841 ,徐州,徐州,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Changzhou,320400,31.8107 ,119.9737 ,常州,常州,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Suzhou,320500,31.2989 ,120.5853 ,苏州,苏州,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Nantong,320600,31.9864 ,120.8937 ,南通,南通,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Lianyungang,320700,34.5967 ,119.2225 ,连云港,连云港,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Huaian,320800,33.6163 ,119.0226 ,淮安,淮安,江苏,Jiangsu Province,,,,,,,
